origin,name,state,distance_km,within_80km,within_100km,within_160km,jobs_JT01,jobs_JT00,share_of_tompkins_jobs_JT01,acs_car_share,acs_wfh_share,vehicles_per_job_central,ev_share_ldv_2026,ev_share_pas_2026,ev_share_used_central_2026,bev_share,vehicles_central,evs_central,workplace_users_central,workplace_mwh_central,public_topup_mwh_central,gross_mwh_central
33013,Merrimack County,NH,401.71963,False,False,False,5.0,7.0,0.00011,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
06041,Marin County,CA,3908.49482,False,False,False,5.0,5.0,0.00011,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
51510,Alexandria city,VA,407.31897,False,False,False,5.0,6.0,0.00011,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
42119,Union County,PA,172.66773,False,False,False,5.0,6.0,0.00011,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
42055,Franklin County,PA,299.76651,False,False,False,5.0,6.0,0.00011,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
42039,Crawford County,PA,311.78695,False,False,False,5.0,6.0,0.00011,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
37063,Durham County,NC,743.11953,False,False,False,5.0,5.0,0.00011,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
26093,Livingston County,MI,609.55723,False,False,False,4.0,4.0,9e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
33019,Sullivan County,NH,360.63576,False,False,False,4.0,5.0,9e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
37057,Davidson County,NC,807.12115,False,False,False,4.0,5.0,9e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
25011,Franklin County,MA,318.43922,False,False,False,4.0,4.0,9e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
33001,Belknap County,NH,427.30985,False,False,False,4.0,5.0,9e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
51153,Prince William County,VA,425.74627,False,False,False,4.0,4.0,9e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
53073,Whatcom County,WA,3542.18529,False,False,False,4.0,4.0,9e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
39133,Portage County,OH,416.62862,False,False,False,4.0,6.0,9e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
50011,Franklin County,VT,392.08104,False,False,False,4.0,4.0,9e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
10005,Sussex County,DE,431.10431,False,False,False,4.0,4.0,9e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
42083,McKean County,PA,187.06715,False,False,False,4.0,4.0,9e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
26139,Ottawa County,MI,798.08353,False,False,False,4.0,4.0,9e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
06001,Alameda County,CA,3857.86895,False,False,False,3.0,4.0,7e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
09011,,,,False,False,False,3.0,4.0,7e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
42075,Lebanon County,PA,231.45982,False,False,False,3.0,5.0,7e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
42107,Schuylkill County,PA,195.67495,False,False,False,3.0,3.0,7e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
12073,Leon County,FL,1503.59538,False,False,False,3.0,3.0,7e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
41017,Deschutes County,OR,3587.30729,False,False,False,3.0,3.0,7e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
39155,Trumbull County,OH,377.84583,False,False,False,3.0,3.0,7e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
50001,Addison County,VT,321.88738,False,False,False,3.0,3.0,7e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
45077,Pickens County,SC,1000.57046,False,False,False,3.0,3.0,7e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
42047,Elk County,PA,213.37364,False,False,False,3.0,3.0,7e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
39061,Hamilton County,OH,769.10286,False,False,False,3.0,3.0,7e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
26059,Hillsdale County,MI,674.87239,False,False,False,3.0,3.0,7e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
18157,Tippecanoe County,IN,897.97962,False,False,False,3.0,3.0,7e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
39093,Lorain County,OH,485.11169,False,False,False,3.0,4.0,7e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
33015,Rockingham County,NH,442.98498,False,False,False,3.0,4.0,7e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
34015,Gloucester County,NJ,323.31751,False,False,False,3.0,4.0,7e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
34029,Ocean County,NJ,342.23215,False,False,False,3.0,4.0,7e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
51019,Bedford County,VA,628.0938,False,False,False,3.0,3.0,7e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
51085,Hanover County,VA,528.93339,False,False,False,3.0,3.0,7e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
53057,Skagit County,WA,3544.82897,False,False,False,3.0,3.0,7e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
53035,Kitsap County,WA,3618.40727,False,False,False,3.0,3.0,7e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
50021,Rutland County,VT,305.88011,False,False,False,3.0,3.0,7e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
50007,Chittenden County,VT,354.14785,False,False,False,3.0,4.0,7e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
48201,Harris County,TX,2192.58337,False,False,False,3.0,3.0,7e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
09013,,,,False,False,False,3.0,3.0,7e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
48439,Tarrant County,TX,2117.80012,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
08005,Arapahoe County,CO,2346.18865,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
51095,James City County,VA,570.81629,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
51047,Culpeper County,VA,458.58782,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
54003,Berkeley County,WV,359.02695,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
12031,Duval County,FL,1424.05721,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
51075,Goochland County,VA,540.53941,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
51087,Henrico County,VA,562.12465,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
23023,Sagadahoc County,ME,561.40519,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
37183,Wake County,NC,764.26472,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
23011,Kennebec County,ME,583.75782,False,False,False,2.0,3.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
39095,Lucas County,OH,583.59409,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
39017,Butler County,OH,757.30815,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
39041,Delaware County,OH,596.24317,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
36041,Hamilton County,NY,208.78518,False,False,False,2.0,2.0,5e-05,0.77746,0.13756,0.84092,0.013,0.01575,0.01575,0.3387,0.0,0.0,0.0,0.0,0.0,0.0
26091,Lenawee County,MI,629.20439,False,False,False,2.0,3.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
44003,Kent County,RI,413.03004,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
48215,Hidalgo County,TX,2659.66155,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
12019,Clay County,FL,1467.31433,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
45045,Greenville County,SC,983.74218,False,False,False,2.0,3.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
47037,Davidson County,TN,1127.81989,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
09015,,,,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
42085,Mercer County,PA,338.11067,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
18063,Hendricks County,IN,891.55536,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
53029,Island County,WA,3612.06573,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
51760,Richmond city,VA,553.86914,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
33009,Grafton County,NH,409.55864,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
29510,St. Louis city,MO,1236.86036,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
37001,Alamance County,NC,755.779,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
24013,Carroll County,MD,324.51608,False,False,False,2.0,3.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
37067,Forsyth County,NC,774.34818,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
25005,Bristol County,MA,451.01476,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
37151,Randolph County,NC,802.90317,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
51177,Spotsylvania County,VA,485.34048,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
04013,Maricopa County,AZ,3291.0986,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
51187,Warren County,VA,420.3857,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
06095,Solano County,CA,3834.09533,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
04025,Yavapai County,AZ,3231.45631,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
51700,Newport News city,VA,597.895,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
06073,San Diego County,CA,3657.97221,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
44001,Bristol County,RI,435.95858,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
42109,Snyder County,PA,195.23344,False,False,False,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
42131,Wyoming County,PA,110.09017,False,False,True,2.0,2.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
42099,Perry County,PA,237.89589,False,False,False,2.0,3.0,5e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
37147,Pitt County,NC,766.78576,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
23031,York County,ME,484.66458,False,False,False,1.0,4.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
37157,Rockingham County,NC,732.33611,False,False,False,1.0,2.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
37145,Person County,NC,707.64013,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
39057,Greene County,OH,693.64375,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
39029,Columbiana County,OH,403.79943,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
39039,Defiance County,OH,674.8629,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
39045,Fairfield County,OH,596.69943,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
37139,Pasquotank County,NC,688.29521,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
21195,Pike County,KY,748.63744,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
21077,Gallatin County,KY,818.51681,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
21117,Kenton County,KY,783.83954,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
24029,Kent County,MD,358.32088,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
26103,Marquette County,MI,995.45684,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
37033,Caswell County,NC,717.14686,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
25007,Dukes County,MA,492.1249,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
26049,Genesee County,MI,593.88948,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
26033,Chippewa County,MI,770.08404,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
26065,Ingham County,MI,647.36904,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
26099,Macomb County,MI,527.70041,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
21037,Campbell County,KY,771.65213,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
21015,Boone County,KY,797.01317,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
18169,Wabash County,IN,794.48151,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
18109,Morgan County,IN,899.49632,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
26163,Wayne County,MI,557.86013,False,False,False,1.0,2.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
32003,Clark County,NV,3356.48985,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
31109,Lancaster County,NE,1686.62035,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
31155,Saunders County,NE,1672.52824,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
34001,Atlantic County,NJ,365.9439,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
33017,Strafford County,NH,452.79045,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
51650,Hampton city,VA,601.20187,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
51630,Fredericksburg city,VA,469.76951,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
51600,Fairfax city,VA,406.2889,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
51590,Danville city,VA,699.41329,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
06047,Merced County,CA,3780.43393,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
06075,San Francisco County,CA,3945.41992,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
01083,Limestone County,AL,1245.31592,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
04019,Pima County,AZ,3299.57424,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
51199,York County,VA,581.82007,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
51161,Roanoke County,VA,651.75492,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
06007,Butte County,CA,3751.89398,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
04027,Yuma County,AZ,3436.99978,False,False,False,1.0,2.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
51790,Staunton city,VA,525.53695,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
51770,Roanoke city,VA,647.55038,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
29213,Taney County,MO,1556.77133,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
29189,St. Louis County,MO,1252.5785,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
29145,Newton County,MO,1644.14619,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
29021,Buchanan County,MO,1565.09152,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
51735,Poquoson city,VA,592.25126,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
51740,Portsmouth city,VA,622.06716,False,False,False,1.0,2.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
28033,DeSoto County,MS,1441.92578,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
35001,Bernalillo County,NM,2728.01154,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
37059,Davie County,NC,805.45331,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
37051,Cumberland County,NC,848.01292,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
37049,Craven County,NC,817.43842,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
37127,Nash County,NC,732.99162,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
13193,Macon County,GA,1305.14564,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
12087,Monroe County,FL,1921.00989,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
39165,Warren County,OH,728.46818,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
39151,Stark County,OH,445.45982,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
45001,Abbeville County,SC,1052.07276,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
44009,Washington County,RI,418.26637,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
44005,Newport County,RI,441.84412,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
42129,Westmoreland County,PA,345.05048,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
42111,Somerset County,PA,348.1122,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
42105,Potter County,PA,140.98884,False,False,True,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
42123,Warren County,PA,242.82351,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
42125,Washington County,PA,402.81616,False,False,False,1.0,2.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
17161,Rock Island County,IL,1169.51296,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
18053,Grant County,IN,794.11059,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
18067,Howard County,IN,832.05433,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
18039,Elkhart County,IN,781.00405,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
17201,Winnebago County,IL,1041.00877,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
17099,LaSalle County,IL,1033.76641,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
42063,Indiana County,PA,295.68616,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
39159,Union County,OH,622.97011,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
42013,Blair County,PA,265.73474,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
42009,Bedford County,PA,321.00045,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
42005,Armstrong County,PA,308.28112,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
42001,Adams County,PA,293.9549,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
41049,Morrow County,OR,3427.48128,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
41013,Crook County,OR,3514.60833,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
40091,McIntosh County,OK,1832.77705,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
40005,Atoka County,OK,1919.10582,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
39137,Putnam County,OH,654.5679,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
42021,Cambria County,PA,285.27561,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
42025,Carbon County,PA,182.18274,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
42031,Clarion County,PA,281.2096,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
